刑事附带民事	赔偿	NA	审理交通肇事犯罪引发的民事赔偿纠纷应严格按照刑事附带民事诉讼模式解决。

交通肇事罪	罪过	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

检察机关	交通事故	NA	公安机关交管部门制作的《交通事故认定书》(以下简称《认定书》)一直是检察机关公诉部门起诉交通肇事罪的控诉证据。

量刑	故意杀人罪	NA	本文从互动论、谴责性降低理论和量刑理论三方面论证了被害人过错在故意杀人罪中的量刑意义。

量刑	故意杀人罪	NA	而张教授的观点存在两个方面的缺陷 :一是可能混同放火犯罪与故意杀人罪之间在犯罪构成上的区别 ;二是可能导致定罪量刑上的不统一。

量刑	故意杀人罪	NA	按以医疗手段故意杀人罪或故意伤害罪定罪量刑。

量刑	故意杀人罪	NA	按以医疗手段故意杀人罪或故意伤害罪定罪量刑。

量刑	故意杀人罪	NA	从而指出将被害人过错在故意杀人罪中量刑法定化的必要性。

受贿罪	检察院	NA	陕西省咸阳市秦都区检察院原检察长陈平因故意杀人罪、私藏弹药罪、受贿罪被执行死刑。

刑法	罪刑均衡	NA	通过重新配置故意杀人罪的现行刊罚以实现尊重、保障和发展人权之刑法目的;通过典型化现行故意杀人罪中的情节较轻、增加故意杀人罪典型的加重情节从而实现罪刑均衡;通过明确设定故意杀人罪的加重或者减轻的犯罪构成从而实现罪刑法定。

受贿罪	死刑	NA	陕西省咸阳市秦都区检察院原检察长陈平因故意杀人罪、私藏弹药罪、受贿罪被执行死刑。

共犯	责任	NA	寻衅滋事共犯责任问题。

谦抑原则	司法	NA	此规定的积极意义在于以被害人利益为导向的刑事政策 ;符合现代刑法的谦抑原则 ;符合对交通肇事罪刑事政策的发展趋势 ;符合过失损毁财物不负刑事责任的刑法基本原理 ;暗合了恢复性司法的精神。

共同犯罪	故意	NA	阐明了以殴打故意致人死亡的只能认定为过失致人死亡罪 ;根据共同犯罪的原理 。

有期徒刑	被害人	NA	以犯故意杀人罪判处刘承玥、李光死刑;康健(被害人的妻子)犯故意杀人罪判处无期徒刑;康壮(被害人的妻弟)被判处有期徒刑5年。

法定刑	逃逸	NA	交通肇事罪法定刑的设置;逃逸行为应属定罪情节还是加重情节;逃逸行为与责任认定;肇事后逃逸的情形下可否成立自首等问题都值得理论界思考。

法定刑	逃逸	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

法定刑	逃逸	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

被告人	非法经营罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

被告人	非法经营罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

警方	毒品	NA	福建省龙岩警方成功破获一起由100多人组成、贩卖毒品5000多克的特大贩(吸)毒团伙案。

警方	毒品	NA	江西警方侦破了一起该省禁毒史上最大的夫妻联手制造、贩卖毒品案。

过失	犯罪化	NA	过失危险行为犯罪化只应存在于危害公共安全的犯罪中。

故意伤害罪	犯罪未遂	NA	对故意伤害罪有否犯罪未遂。

认定	最高人民法院	NA	最高人民法院《关于审理交通肇事刑事案件具体应用法律若干问题的解释》将交通事故责任规定为认定交通肇事罪的成立条件。

定罪	既遂	NA	应以故意杀人既遂定罪处罚。

中级人民法院	故意伤害罪	NA	北京市第一中级人民法院以故意伤害罪和抢劫罪。

中级人民法院	故意伤害罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

中级人民法院	故意伤害罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

中级人民法院	故意伤害罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

中级人民法院	故意伤害罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

中级人民法院	故意伤害罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

中级人民法院	故意伤害罪	NA	河南省洛阳市中级人民法院一审判决焦克星犯故意伤害罪。

最高人民法院	审理	NA	最高人民法院《关于审理交通肇事刑事案件具体应用法律若干问题的解释》将交通事故责任规定为认定交通肇事罪的成立条件。

故意伤害罪	被害人	NA	而不能根据被害人的伤亡结果而分别认定为故意伤害罪或者故意杀人罪。

故意伤害罪	被害人	NA	而不能根据被害人的伤亡结果而分别认定为故意伤害罪或者故意杀人罪。

犯罪分子	贩卖毒品	NA	北京市海淀区法院对一批涉嫌犯贩卖毒品罪的犯罪分子进行了集中宣判。

主体	客观方面	NA	故意杀人罪从严情节大致可分为主体、主观方面、客观方面三个方面。

被告人	刑事责任	NA	应当以故意伤害罪追究被告人的刑事责任。

犯罪嫌疑人	故意伤害	NA	方舟子被袭案主要犯罪嫌疑人肖传国因故意伤害罪在上海浦东机场被警方抓获。

犯罪嫌疑人	故意伤害	NA	把一场并不复杂的乡邻纠纷弄得迷雾重重:先是以故意伤害罪对犯罪嫌疑人提请逮捕。

犯罪嫌疑人	故意伤害	NA	案情简介 某分局民警于某在依法对涉嫌故意伤害他 人的犯罪嫌疑人高某进行人身搜查时。

犯罪嫌疑人	故意伤害	NA	一下子变得复杂起来:先是以故意伤害罪对犯罪嫌疑人提请逮捕。

犯罪嫌疑人	故意伤害	NA	淮北市杜集区人民检察院以涉嫌故意伤害罪对犯罪嫌疑人张亚辉批准逮捕。

猥亵	想像竞合犯	NA	成立强制猥亵、侮辱妇女罪和故意伤害罪的想像竞合犯。

过失犯罪	交通肇事罪	NA	交通肇事罪作为传统的过失犯罪。

量刑幅度	犯罪情节	NA	《刑法》提高了对交通肇事因逃逸致人死亡这一犯罪情节的量刑幅度。

犯罪构成	故意	NA	通过重新配置故意杀人罪的现行刊罚以实现尊重、保障和发展人权之刑法目的;通过典型化现行故意杀人罪中的情节较轻、增加故意杀人罪典型的加重情节从而实现罪刑均衡;通过明确设定故意杀人罪的加重或者减轻的犯罪构成从而实现罪刑法定。

人民法院	认定	NA	最高人民法院《关于审理交通肇事刑事案件具体应用法律若干问题的解释》将交通事故责任规定为认定交通肇事罪的成立条件。

因逃逸致人死亡	罪过	NA	交通肇事罪的“因逃逸致人死亡”的罪过形式一直是学界存有争议的问题。

若干问题	最高人民法院审判委员会	hierarchical	最高人民法院审判委员会出台了《关于审理交通肇事刑事案件具体应用法律若干问题的解释》 。

被告人	中级人民法院	hierarchical	被告人夏某与张茹月(另案判决)在被告人吴丹(曾因犯贩卖毒品罪于2006年3月被云南省大理白族自治州中级人民法院判处有期徒刑。

被告人	中级人民法院	hierarchical	云南省文山州中级人民法院以故意杀人罪一审判处被告人苏志祥、罗超死刑。

刑事责任	刑事政策	NA	此规定的积极意义在于以被害人利益为导向的刑事政策 ;符合现代刑法的谦抑原则 ;符合对交通肇事罪刑事政策的发展趋势 ;符合过失损毁财物不负刑事责任的刑法基本原理 ;暗合了恢复性司法的精神。

共犯	复合罪过	NA	交通肇事罪共犯形成的理论基础在于其罪过形式是复合罪过形式。

被告人	敲诈勒索罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

被告人	敲诈勒索罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

交通肇事罪	最高人民法院	NA	最高人民法院的有关司法解释修改了现行刑法中的交通肇事罪的成立要件。

交通肇事罪	最高人民法院	NA	从刑法分则对交通肇事罪的规定和最高人民法院关于交通肇事罪的司法解释来看。

交通肇事罪	最高人民法院	NA	最高人民法院《关于审理交通肇事刑事案件具体应用法律若干问题的解释》将交通事故责任规定为认定交通肇事罪的成立条件。

交通肇事罪	最高人民法院	NA	最高人民法院《关于审理交通肇事罪刑事案件具体应用法律若干问题的解释》第6条的规定值得商榷。

责任	认定	NA	最高人民法院《关于审理交通肇事刑事案件具体应用法律若干问题的解释》将交通事故责任规定为认定交通肇事罪的成立条件。

有期徒刑	县法院	NA	到县法院以故意伤害罪判处陈亚阳有期徒刑3年、缓刑4年时。

犯罪	处罚	NA	认为我国应该完善故意杀人罪这种情况复杂、侵害法益严重、不同的处罚后果差别重大的犯罪的罪状描述。

醉酒驾车	罪过	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

醉酒驾车	罪过	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

醉酒驾车	罪过	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

交通肇事	自动投案	NA	浙江高级人民法院认为交通肇事后肇事人报警并保护现场不属于自动投案进而不能认定为自首。

毒品犯罪	贩卖毒品罪	NA	对毒品犯罪中的多发性犯罪———贩卖毒品罪在司法实践中的应用进行了实证考察。

我国刑法	罪状	NA	通过对我国刑法第二百三十二条故意杀人罪的罪状的描述与分析。

过失危险	法益	NA	过失危险犯只能存在于危害公共安全法益的犯罪中 。

被告人	被害人过错	NA	也应正确理解和把握民间矛盾激化所引发的故意杀人案件中被害人过错、被告人赔偿、被害方谅解等因素对于死刑适用的影响。

恐怖主义	刑事立法	NA	我国关于恐怖主义犯罪的刑事立法应从以下几个方面进行完善 :将恐怖主义犯罪作为“危害公共安全罪”章中的一节加以规定 ;对于恐怖主义犯罪所涉及之罪都应当附加财产刑 ;增设劫持人质罪 ;增设非法邮寄危险物质罪 ;增加规定对恐怖主义犯罪减免刑罚的特别情节。

故意	刑法	NA	《刑法》和《刑事诉讼法》对故意伤害罪三类的情况分别确定了相应的量刑幅度和诉讼制度。

故意	刑法	NA	对于在间接故意支配下实施的尚未出现实际后果的以危险方法危害公共安全犯罪的具体危险犯不予刑法意义上的评价。

故意	刑法	NA	刑法第一百三十四条根据伤害的不同后果对故意伤害罪规定了三个量刑幅度:致人轻伤的。

共同故意	帮助犯	NA	共同故意伤害的实行犯、教唆犯、帮助犯的实行过限分别承担不同责任。

高级人民法院	故意杀人罪	NA	近日被湖南省高级人民法院以故意杀人罪一审判处死刑。

高级人民法院	故意杀人罪	NA	同年12月28日陕西省高级人民法院以故意杀人罪判处邱兴华死刑。

不作为	故意杀人	NA	因逃逸致人死亡与不作为故意杀人罪区分的关键。

不作为	故意杀人	NA	本文试从两则不作为故意杀人罪案例入手。

不作为	故意杀人	NA	也有利于交通肇事罪与不作为的故意杀人罪的区分。

不作为	故意杀人	NA	也有利于交通肇事罪与不作为的故意杀人罪的区分。

不作为	故意杀人	NA	阻止者单独构成不作为的故意杀人罪;在被害人自陷困境的场合。

不作为	故意杀人	NA	对肇事者无须另以遗弃罪或不作为的故意杀人罪定罪处罚。

不作为	故意杀人	NA	消极安乐死因不具有作为义务而不构成不作为的故意杀人罪。

检察官	故意伤害	NA	有媒体称2002年4月黑龙江省牡丹江铁路运输法院判决的一起由检察官与被告人达成协议的故意伤害案为中国辩诉交易第一案。

法律	最高人民法院审判委员会	NA	最高人民法院审判委员会出台了《关于审理交通肇事刑事案件具体应用法律若干问题的解释》 。

刑法	故意伤害	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

刑法	故意伤害	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

刑法	故意伤害	NA	不是寻衅滋事罪的主观要素;刑法理论与司法实践不应过分注重寻衅滋事罪与故意伤害罪、敲诈勒索罪、故意毁坏财物罪的区别。

刑法	故意伤害	NA	不是寻衅滋事罪的主观要素;刑法理论与司法实践不应过分注重寻衅滋事罪与故意伤害罪、敲诈勒索罪、故意毁坏财物罪的区别。

刑法	故意伤害	NA	《刑法》和《刑事诉讼法》对故意伤害罪三类的情况分别确定了相应的量刑幅度和诉讼制度。

刑法	故意伤害	NA	对于《刑法》第17条中规定的“犯故意杀人、故意伤害致人重伤或者死亡”。

刑法	故意伤害	NA	对于《刑法》第17条中规定的“犯故意杀人、故意伤害致人重伤或者死亡”。

刑法	故意伤害	NA	刑法第２３４条关于故意伤害结果加重犯的规定。

刑法	故意伤害	NA	正确理解刑法关于故意伤害罪的立法精神。

四川省	危害公共安全罪	NA	四川省高级人民法院以以危险方法危害公共安全罪。

四川省	危害公共安全罪	NA	四川省高级人民法院以危害公共安全罪改判孙伟铭无期徒刑。

致人死亡	寻衅滋事罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

致人死亡	寻衅滋事罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

看守所	毒品	NA	但她唯一的儿子因贩卖毒品被羁押在看守所里。

高级人民法院	有期徒刑	NA	福建省高级人民法院: 你院《关于对故意伤害、盗窃(重大)等犯罪分子被判处有期徒刑的。

危险方法	危害公共安全罪	NA	对盗窃窨井盖行为按照以危险方法危害公共安全罪处理是适当的。

危险方法	危害公共安全罪	NA	被告人马文涛因犯过失以危险方法危害公共安全罪。

危险方法	危害公共安全罪	NA	制造并销售蛋白粉的行为不应当如法院判决的那样构成以危险方法危害公共安全罪。

危险方法	危害公共安全罪	NA	对以间接故意实施以危险方法危害公共安全罪的醉酒驾车被告人。

危险方法	危害公共安全罪	NA	以危险方法危害公共安全罪与交通肇事罪的区别主要在于犯罪主观方面的不同。

危险方法	危害公共安全罪	NA	以危险方法危害公共安全罪与交通肇事罪的区别主要在于犯罪主观方面的不同。

危险方法	危害公共安全罪	NA	以危险方法危害公共安全罪也因此常常被滥用。

完善	恐怖主义	NA	我国关于恐怖主义犯罪的刑事立法应从以下几个方面进行完善 :将恐怖主义犯罪作为“危害公共安全罪”章中的一节加以规定 ;对于恐怖主义犯罪所涉及之罪都应当附加财产刑 ;增设劫持人质罪 ;增设非法邮寄危险物质罪 ;增加规定对恐怖主义犯罪减免刑罚的特别情节。

检察机关	公诉部	NA	公安机关交管部门制作的《交通事故认定书》(以下简称《认定书》)一直是检察机关公诉部门起诉交通肇事罪的控诉证据。

死刑	诈骗罪	NA	北京市第一中级人民法院以故意杀人罪、盗窃罪、诈骗罪合并判处被告人闫烁死刑。

适用死刑	犯罪行为	NA	故意杀人等犯罪行为只是考虑适用死刑的一个量刑情节。

被告人	黑社会性质组织罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

被告人	黑社会性质组织罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

主诉检察官	嫌疑人	NA	吉林省长春市人民检察院主诉检察官姜涛受理了一起涉嫌故意杀人案:嫌疑人曲立宝因被分流下岗。

刑法	刑事案件	NA	刑法第 1 3 3条和 2 0 0 0年 1 1月 1 0日通过的《最高人民法院关于审理交通肇事刑事案件具体应用法律若干问题的解释》中 。

故意杀人罪	交通肇事罪	NA	也有利于交通肇事罪与不作为的故意杀人罪的区分。

故意杀人罪	交通肇事罪	NA	也有利于交通肇事罪与不作为的故意杀人罪的区分。

故意杀人	一审判决	NA	常德市中级人民法院对谢辉故意杀人案做出一审判决。

故意杀人	一审判决	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

故意杀人	一审判决	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

故意杀人	一审判决	NA	咸阳市中级人民法院对陈平作出一审判决:犯故意杀人罪。

故意杀人	一审判决	NA	抚州市中级人民法院以故意杀人罪一审判决被告人“性病女医生”余梨花犯故意杀人罪。

故意伤害	被害人	NA	因故意伤害(用拳脚和棍棒殴打被害人陈某致使其一只眼睛失明。

故意伤害	被害人	NA	而不能根据被害人的伤亡结果而分别认定为故意伤害罪或者故意杀人罪。

故意伤害	被害人	NA	而不能根据被害人的伤亡结果而分别认定为故意伤害罪或者故意杀人罪。

故意伤害	被害人	NA	通过对某区法院2004年-2007年上半年间审理的故意伤害等七类严重侵犯人身权利犯罪中被害人境遇的调研。

故意伤害	被害人	NA	被害人承诺的概念专指一种针对故意伤害与毁坏财物的违法阻却事由。

民事赔偿	刑事附带民事诉讼	NA	审理交通肇事犯罪引发的民事赔偿纠纷应严格按照刑事附带民事诉讼模式解决。

交通肇事罪	故意杀人罪	NA	也有利于交通肇事罪与不作为的故意杀人罪的区分。

交通肇事罪	故意杀人罪	NA	也有利于交通肇事罪与不作为的故意杀人罪的区分。

犯罪嫌疑人	故意杀人罪	NA	淮南市谢家集区检察院以故意杀人罪对犯罪嫌疑人陶丽进行批捕。

犯罪嫌疑人	故意杀人罪	NA	信阳市人民检察院以故意杀人罪对犯罪嫌疑人王仁科实施逮捕。

犯罪嫌疑人	故意杀人罪	NA	上海金山区人民检察院以涉嫌抢劫罪、故意杀人罪(未遂)批准逮捕了犯罪嫌疑人江盼。

刑事责任	当事人	NA	在是否构成交通肇事罪和如何追究当事人的刑事责任等方面。

定罪	处罚	NA	应从刑法处罚的立场出发;"交通肇事后逃逸"不仅是定罪情节。

交通肇事	司法解释	NA	最高人民法院的有关司法解释修改了现行刑法中的交通肇事罪的成立要件。

交通肇事	司法解释	NA	交通肇事逃逸的相关司法解释存在一定的问题。

交通肇事	司法解释	NA	但此修正案并没有对交通肇事罪立法和司法解释的诸多悖论进行全面的完善。

交通肇事	司法解释	NA	从刑法分则对交通肇事罪的规定和最高人民法院关于交通肇事罪的司法解释来看。

交通肇事	司法解释	NA	司法解释规定指使者与受指使逃逸的交通肇事者构成交通肇事罪的共犯。

交通肇事	司法解释	NA	交通肇事罪的司法解释规定指使肇事者逃逸的以共犯论处。

被告人	非法拘禁	NA	被告人的行为应认定为由先前非法拘禁这一犯罪行为引起的不作为(间接)故意杀人罪。

被告人	非法拘禁	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

被告人	非法拘禁	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

中级人民法院	非法经营罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

中级人民法院	非法经营罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

相对不起诉	交通肇事	NA	本文笔者就以对两个交通肇事案件所做的相对不起诉及起诉的两个不同处理决定为切入点。

以危险方法危害公共安全罪	危险方法	NA	对盗窃窨井盖行为按照以危险方法危害公共安全罪处理是适当的。

以危险方法危害公共安全罪	危险方法	NA	被告人马文涛因犯过失以危险方法危害公共安全罪。

以危险方法危害公共安全罪	危险方法	NA	制造并销售蛋白粉的行为不应当如法院判决的那样构成以危险方法危害公共安全罪。

以危险方法危害公共安全罪	危险方法	NA	对以间接故意实施以危险方法危害公共安全罪的醉酒驾车被告人。

以危险方法危害公共安全罪	危险方法	NA	以危险方法危害公共安全罪与交通肇事罪的区别主要在于犯罪主观方面的不同。

以危险方法危害公共安全罪	危险方法	NA	以危险方法危害公共安全罪与交通肇事罪的区别主要在于犯罪主观方面的不同。

以危险方法危害公共安全罪	危险方法	NA	以危险方法危害公共安全罪也因此常常被滥用。

指使	故意杀人罪	NA	指使者相应构成遗弃罪或故意杀人罪的教唆犯。

市人民检察院	贩卖毒品罪	NA	呼和浩特市人民检察院以贩卖毒品罪对土默特左旗国土资源局党委书记、副局长云争气提起了公诉。

市人民检察院	贩卖毒品罪	NA	我爱她！” 江西省南昌市人民检察院以被告人陈木丰(第一被告)、丁赣南、刘志伟、万丽娜、许武惠犯贩卖毒品罪案。

市人民检察院	贩卖毒品罪	NA	内蒙古自治区呼和浩特市人民检察院以贩卖毒品罪对呼和浩特市土默特左旗国土资源局党委书记、副局长云争气提起公诉。

损伤程度	重伤	NA	我们将故意伤害他人身体健康的损伤程度划分为3等7级: 一、重伤。

被告人	无期徒刑	NA	最终以故意杀人罪改判被告人无期徒刑。

故意杀人罪	被害人过错	NA	从而指出将被害人过错在故意杀人罪中量刑法定化的必要性。

故意杀人罪	被害人过错	NA	本文从互动论、谴责性降低理论和量刑理论三方面论证了被害人过错在故意杀人罪中的量刑意义。

法律	最高人民法院	NA	最高人民法院《关于审理交通肇事刑事案件具体应用法律若干问题的解释》将交通事故责任规定为认定交通肇事罪的成立条件。

死刑	妻子	NA	以犯故意杀人罪判处刘承玥、李光死刑;康健(被害人的妻子)犯故意杀人罪判处无期徒刑;康壮(被害人的妻弟)被判处有期徒刑5年。

民事纠纷	刑事案件	NA	人民法院受理的因民事纠纷矛盾激化引起的故意伤害、故意杀人、非法拘禁等刑事案件呈大幅上升趋势。

民事纠纷	刑事案件	NA	人民法院受理的因民事纠纷矛盾激化引起的故意伤害、故意杀人、非法拘禁等刑事案件呈大幅上升趋势。

附带民事诉讼	刑事附带民事	NA	审理交通肇事犯罪引发的民事赔偿纠纷应严格按照刑事附带民事诉讼模式解决。

致人死亡	故意杀人罪	NA	因逃逸致人死亡与不作为故意杀人罪区分的关键。

致人死亡	故意杀人罪	NA	一审法院以“故意杀人罪”判处李德才死刑;二审法院以“过失致人死亡罪”改判其有期徒刑5年。

致人死亡	故意杀人罪	NA	一审法院以“故意杀人罪”判处李德才死刑;二审法院以“过失致人死亡罪”改判其有期徒刑5年。

致人死亡	故意杀人罪	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

致人死亡	故意杀人罪	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

致人死亡	故意杀人罪	NA	不可能同时触犯故意杀人罪和过失致人死亡罪两罪名 。

致人死亡	故意杀人罪	NA	不可能同时触犯故意杀人罪和过失致人死亡罪两罪名 。

司法	绑架	NA	应以“故意伤害”取而代之 ;同时应通过立法或司法解释方法将“行凶、杀人、抢劫、强奸、绑架”界定为犯罪手段 ;对“其他严重危及人身安全的暴力犯罪”不能随意扩展。

死刑适用	被告人	NA	也应正确理解和把握民间矛盾激化所引发的故意杀人案件中被害人过错、被告人赔偿、被害方谅解等因素对于死刑适用的影响。

逃逸	故意杀人罪	NA	因逃逸致人死亡与不作为故意杀人罪区分的关键。

逃逸	故意杀人罪	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

逃逸	故意杀人罪	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

刑事附带民事诉讼	赔偿	NA	审理交通肇事犯罪引发的民事赔偿纠纷应严格按照刑事附带民事诉讼模式解决。

敲诈勒索罪	抢劫罪	NA	存在对抢劫罪与敲诈勒索罪、寻衅滋事罪之间。

交通肇事	共同犯罪	NA	设立交通肇事逃逸罪是合理的;交通肇事逃逸中的共同犯罪宜定为交通肇事逃逸罪的共犯。

交通肇事	共同犯罪	NA	《最高人民法院关于审理交通肇事刑事案件具体应用法律若干问题解释》第 5条第 2款的规定不符合共同犯罪的理论 。

交通肇事	共同犯罪	NA	对交通肇事罪的构成及共同犯罪问题进行了分析并提出自己的观点。

逃逸	致人死亡	NA	因逃逸致人死亡与不作为故意杀人罪区分的关键。

逃逸	致人死亡	NA	应正确理解交通肇事因逃逸致人死亡的概念和内涵。

逃逸	致人死亡	NA	交通肇事因逃逸致人死亡是指行为人在交通肇事后为逃避法律追究而逃跑。

刑事责任	故意	NA	应当以故意伤害罪追究被告人的刑事责任。

刑事责任	故意	NA	只能追究行为人故意杀人未遂的刑事责任。

正当防卫	故意伤害	NA	出租车司机的行为是见义勇为、正当防卫或者防卫过当还是犯了故意伤害罪。

逃逸	故意	NA	因逃逸致人死亡与不作为故意杀人罪区分的关键。

逃逸	故意	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

逃逸	故意	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

交通肇事罪	被害人	NA	此规定的积极意义在于以被害人利益为导向的刑事政策 ;符合现代刑法的谦抑原则 ;符合对交通肇事罪刑事政策的发展趋势 ;符合过失损毁财物不负刑事责任的刑法基本原理 ;暗合了恢复性司法的精神。

